stop_id stop_code stop_name stop_lat stop_lon
0 31 Général_de_Gaulle 48.697631 2.299751
1 1 Gare_de_Longjumeau_RER 48.702163 2.294136
2 stop_code Place_Charles_Steber 48.697463 2.293719
3 3 Hôpital_de_Longjumeau 48.691795 2.289958
4 4 Docteur_Cathelin 48.68748 2.289201
5 5 Bel_Air 48.686649 2.291491
6 6 La_Rocade 48.687568 2.294594
7 7 Côteaux 48.690216 2.295258
8 8 Cimetière 48.68943 2.298526
9 9 Clinique_de_l'Yvette 48.689697 2.300245
10 28 Foyer_Avril 48.691871 2.297892
11 30 Théâtre 48.695808 2.298938
12 11 Basch-Poulettes 48.684902 2.305942
13 poi1457378 Rouillon 48.679317 2.301115
14 14 Templiers 48.680805 2.30674
15 10 Clinique_de_l'Yvette 48.689247 2.30162
16 PointOfInterest_8 Hauts-Fresnais 48.665473 2.27978
17 PointOfInterest_9 Berges_du_Rouillon 48.668422 2.285911
18 PointOfInterest_10 Château 48.6739 2.289906
19 12 Ballainvilliers_Centre 48.675983 2.292793
20 13 Stade 48.676761 2.297517
21 18 Gare_de_Gravigny-Balizy_RER 48.685005 2.317547
22 19 Rue_de_Savigny 48.687713 2.321357
23 20 Lavoisier 48.692024 2.328978
24 24 Pasteur 48.695041 2.327234
25 25 Morin 48.693317 2.319344
26 26 Pont_des_Maures 48.69149 2.316493
27 27 Georges_Brassens 48.689086 2.318717
28 17 Gare_de_Gravigny-Balizy_RER 48.685073 2.317202
29 15 Balizy 48.682891 2.310719
30 PointOfInterest_12 Ballainvilliers_-_Centre 48.676105 2.291727
31 PointOfInterest_11 Château 48.673339 2.28979
32 21 Maison_de_la_Petite_Enfance 48.698158 2.330878
33 22 Collège_M._Vignaud 48.700618 2.333688
34 23 Centre_Commercial 48.697059 2.332822
35 2 Place_Charles_Steber 48.697952 2.294213
36 29 Hôtel_de_Ville 48.694511 2.295649
37 PointOfInterest_13 Clinique_de_l'Yvette 48.689037 2.301711
38 16 Balizy 48.683181 2.309987
39 32 Rond-Point_du_Pileu 48.730201 2.241041
40 37 Gare_de_Massy-Palaiseau_RER 48.725692 2.256777
41 34 Lycée_de_Vilgénis 48.731285 2.253817
42 PointOfInterest_15 Raymond_Aron 48.728919 2.260143
43 PointOfInterest_17 Président_Allende 48.730304 2.257513
44 PointOfInterest_19 Parc_de_Vilgénis_ 48.731235 2.243475
